Stock,Date,Open,High,Low,Close,Volume
HILTON,09-Nov-23,143.9,145.4,140,142.1,35555
HILTON,08-Nov-23,155,159,143,143.9,53176
HILTON,07-Nov-23,154.5,154.5,149.8,152.35,5023
HILTON,06-Nov-23,145.7,153.9,142,152.45,126478
HILTON,03-Nov-23,144.9,148.95,138.1,141.95,46206
HILTON,02-Nov-23,144.4,144.9,141,142.9,10695
HILTON,01-Nov-23,147.5,147.5,140.6,142.45,18198
HILTON,31-Oct-23,144,146.1,143,145.3,104586
HILTON,30-Oct-23,145.3,145.3,142.8,143.5,18017
HILTON,27-Oct-23,145,146,141.15,145.3,35210
HILTON,26-Oct-23,145.85,146.8,137.05,145.6,121725
HILTON,25-Oct-23,152,152,142.5,143.85,40609
HILTON,23-Oct-23,153.55,156,141.05,149.75,154554
HILTON,20-Oct-23,153,153,149,150.35,22799
HILTON,19-Oct-23,151.95,153,147.8,151.4,42084
HILTON,18-Oct-23,155.1,156.8,147.95,149.95,83997
HILTON,17-Oct-23,158,158,148.55,155.95,169813
HILTON,16-Oct-23,150,153.45,148.5,149.65,42971
HILTON,13-Oct-23,150.5,156.4,149.5,153.2,52769
HILTON,12-Oct-23,156.4,156.65,150.55,153.8,202471
HILTON,11-Oct-23,159.8,160.65,154.25,156.75,81714
HILTON,10-Oct-23,157.2,160,153,159.25,120131
HILTON,09-Oct-23,156.85,160,150.75,157.2,122938
HILTON,06-Oct-23,154.85,158.95,153.3,157.85,128665
HILTON,05-Oct-23,158.9,158.9,152.05,153.65,49771
HILTON,04-Oct-23,158,159,151.6,154.55,100058
HILTON,03-Oct-23,165,165,157.15,158.55,123854
HILTON,29-Sep-23,164.9,167,162.8,165.4,80806
HILTON,28-Sep-23,166.8,166.8,161.7,163.9,50940
HILTON,27-Sep-23,168.3,169.25,163.55,165.55,52192
HILTON,26-Sep-23,164,168.9,160.35,167,157917
HILTON,25-Sep-23,164.1,167.65,161.5,163.5,80429
HILTON,22-Sep-23,170.95,170.95,163.15,164.75,78435
HILTON,21-Sep-23,165.5,169,163.55,166.25,141479
HILTON,20-Sep-23,166,166,162.05,163.75,91362
HILTON,18-Sep-23,166.5,170.55,164,166.2,131562
HILTON,15-Sep-23,164.4,166.05,157.65,164.75,216609
HILTON,14-Sep-23,162.7,163.5,158.1,161.95,100463
HILTON,13-Sep-23,157.9,161,154,159.7,261329
HILTON,12-Sep-23,161.45,163.6,152.3,157.25,158458
HILTON,11-Sep-23,157,157.8,150.3,157.6,139789
HILTON,08-Sep-23,145,151.4,145,150.3,72764
HILTON,07-Sep-23,141.5,144.9,138.1,144.2,57667
HILTON,06-Sep-23,139.5,142.9,136.1,141.75,36718
HILTON,05-Sep-23,135.25,141,130.05,139.6,138267
HILTON,04-Sep-23,139,142,134,135.25,55256
HILTON,01-Sep-23,139.9,139.95,135.15,139.8,47760
HILTON,31-Aug-23,138.15,140.6,135,138.9,20714
HILTON,30-Aug-23,141.7,142.8,135.25,138.15,31507
HILTON,29-Aug-23,143,144.9,137.1,140.9,55807
HILTON,28-Aug-23,139.7,144,132.7,141.7,88610
HILTON,25-Aug-23,143.4,143.4,135,139.65,93184
HILTON,24-Aug-23,146.85,146.85,138,142.1,140901
HILTON,23-Aug-23,149.4,149.4,144.65,145.25,35250
HILTON,22-Aug-23,149,149,144,148.3,22473
HILTON,21-Aug-23,149.7,149.7,144.1,148.6,31188
HILTON,18-Aug-23,147.9,149,142.8,147.75,58463
HILTON,17-Aug-23,147.9,147.9,140.4,146.3,53287
HILTON,16-Aug-23,151,153,144,145.3,35274
HILTON,14-Aug-23,153,153,146,150.25,38198
HILTON,11-Aug-23,148.6,156,148.5,153.55,53605
HILTON,10-Aug-23,149,157.5,143.15,153.2,175948
HILTON,09-Aug-23,161.7,161.7,150.35,150.65,96258
HILTON,08-Aug-23,161.9,161.9,154.1,158.25,35335
HILTON,07-Aug-23,160.15,164.5,157.1,158.15,25063
HILTON,04-Aug-23,166.8,166.8,158.55,160.85,36074
HILTON,03-Aug-23,160.3,165.8,160.3,164.65,15369
HILTON,02-Aug-23,166,166,162,162.55,19810
HILTON,01-Aug-23,162.15,167,162,166.75,58352
HILTON,31-Jul-23,163.4,166,158,164.65,96798
HILTON,28-Jul-23,161,166.85,156,159.3,31564
HILTON,27-Jul-23,168.6,168.6,162.25,163.55,21407
HILTON,26-Jul-23,166.15,170,165.1,165.9,23727
HILTON,25-Jul-23,165.75,169,165,166.15,33760
HILTON,24-Jul-23,164.9,167.8,162,165.8,24322
HILTON,21-Jul-23,162,169.9,160,164.9,66824
HILTON,20-Jul-23,164.65,165,160,163.3,34628
HILTON,19-Jul-23,161.95,164.9,159.1,163.55,23679
HILTON,18-Jul-23,159.4,167.4,159.4,161.95,15201
HILTON,17-Jul-23,169.5,169.5,163,166.15,13306
HILTON,14-Jul-23,166.4,168.95,162.15,167.6,28338
HILTON,13-Jul-23,169.5,169.5,161,164.45,37033
HILTON,12-Jul-23,170,171,166.25,166.55,11920
HILTON,11-Jul-23,170.9,171,167,168.25,10459
HILTON,10-Jul-23,169.4,170.95,166,169.95,53772
HILTON,07-Jul-23,169.95,171.5,166,169.65,43280
HILTON,06-Jul-23,165,168.95,160,167.35,73357
HILTON,05-Jul-23,166.25,166.3,161.5,164.55,40835
HILTON,04-Jul-23,166.3,168.9,163.1,165.3,62537
HILTON,03-Jul-23,163.5,167.95,162.6,163.4,16201
HILTON,30-Jun-23,167,171.85,164.2,167.5,22134
HILTON,28-Jun-23,168.5,170.3,164,167.55,41049
HILTON,27-Jun-23,167.55,169.7,161,164.75,15695
HILTON,26-Jun-23,169,169.95,166.1,167.55,17231
HILTON,23-Jun-23,170.45,172.7,162.1,168.65,64664
HILTON,22-Jun-23,173.9,173.9,167.5,170.45,64854
HILTON,21-Jun-23,169,173.7,168,172.4,60271
HILTON,20-Jun-23,169.9,172,166,171.75,72682
HILTON,19-Jun-23,173.5,174,167,168.4,93341
HILTON,16-Jun-23,168,170,162.3,169.75,63562
HILTON,15-Jun-23,164.7,167.6,162.5,166.95,106711
HILTON,14-Jun-23,167.2,167.2,160,163.6,153269
HILTON,13-Jun-23,165.5,167,161.1,163.75,10571
HILTON,12-Jun-23,158.45,166.35,155.45,163.7,76570
HILTON,09-Jun-23,156.75,162,154,158.45,100241
HILTON,08-Jun-23,160.9,161,154.5,156,59960
HILTON,07-Jun-23,154.95,160,152.05,158.9,47259
HILTON,06-Jun-23,161.8,162.5,157,158.8,202642
HILTON,05-Jun-23,161.45,164,157.7,159.1,151012
HILTON,02-Jun-23,166.25,167,158.6,161.45,153723
HILTON,01-Jun-23,168.95,169.3,162.6,164.95,155894
HILTON,31-May-23,158.25,166,158.25,164.8,318476
HILTON,30-May-23,158.95,160.3,153.05,159.95,246568
HILTON,29-May-23,159.8,159.8,152,155.75,191242
HILTON,26-May-23,159.7,159.7,155.5,156.7,146628
HILTON,25-May-23,150.1,158.7,150.1,156.95,161255
HILTON,24-May-23,150.75,156,150.7,152.9,310108
HILTON,23-May-23,155,162.3,149.95,151.45,538300
HILTON,22-May-23,147.8,155.15,147.8,154.8,140066
HILTON,19-May-23,142.3,147.8,141,147.8,151656
HILTON,18-May-23,142.9,142.9,139.1,140.8,39227
HILTON,17-May-23,142.4,142.4,138.1,141.05,33994
HILTON,16-May-23,143.5,143.5,138.5,141.15,43726
HILTON,15-May-23,140.15,143,140,141.05,27441
HILTON,12-May-23,141,142.35,140,140.3,32647
HILTON,11-May-23,145.25,145.25,137.25,142.35,153819
HILTON,10-May-23,148.25,148.25,143.35,145.25,12074
HILTON,09-May-23,147.35,149.8,142,145.95,57586
HILTON,08-May-23,149.2,150.25,144,147,37793
HILTON,05-May-23,151.9,151.9,145,146.25,32419
HILTON,04-May-23,145.2,152.9,145.2,150.55,38417
HILTON,03-May-23,148.45,153,141.3,150.55,94352
HILTON,02-May-23,146.95,150,143.1,147.55,53060
HILTON,28-Apr-23,147,149.5,142,146.95,58885
HILTON,27-Apr-23,149,151,142,144.85,107173
HILTON,26-Apr-23,141.5,148,135.1,147.45,178368
HILTON,25-Apr-23,140,141.4,128,141.1,199988
HILTON,24-Apr-23,135.8,135.8,128.5,134.7,164864
HILTON,21-Apr-23,129.35,129.35,126.9,129.35,134261
HILTON,20-Apr-23,117.4,123.2,117.4,123.2,176791
HILTON,19-Apr-23,120,120,116.15,117.35,24754
HILTON,18-Apr-23,120.7,123,118,119.4,36902
HILTON,17-Apr-23,118,120.4,116,119.7,78586
HILTON,13-Apr-23,119.7,121,115.5,119.1,56830
HILTON,12-Apr-23,118.45,121.95,114,119.65,61746
HILTON,11-Apr-23,118.6,123,116.05,118.45,61914
HILTON,10-Apr-23,117,121.3,115.1,118.3,81299
HILTON,06-Apr-23,115,115.55,110.05,115.55,93680
HILTON,05-Apr-23,107.4,110.05,105,110.05,88601
HILTON,03-Apr-23,104.8,104.85,103.15,104.85,51509
HILTON,31-Mar-23,95.15,99.9,95.15,99.9,21170
HILTON,29-Mar-23,99.7,99.7,94.5,95.15,54382
HILTON,28-Mar-23,101.9,104.75,97.15,98.65,63820
HILTON,27-Mar-23,107.9,107.9,101.05,101.9,32286
HILTON,24-Mar-23,102,107.95,102,105.45,16122
HILTON,23-Mar-23,104,108,101,105.35,23678
HILTON,22-Mar-23,101.25,107.6,101.25,104,22309
HILTON,21-Mar-23,104.7,104.7,100.35,102.95,18148
HILTON,20-Mar-23,105,105.85,102.05,102.65,22023
HILTON,17-Mar-23,101,106.5,100,104.95,55223
HILTON,16-Mar-23,104.8,104.8,100.55,102.05,94427
HILTON,15-Mar-23,105.2,111.45,104.2,105.8,54217
